MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
278M,"The White Lion, St. Thomas Street",359159,172757,Inn,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Commercial,Inn,Inn,"33-49, Victoria Street",,,38964,"The White Lion Inn, located on the eastern side of St. Thomas Street. The building was a gabled, jettied house of three storeys and attic with a one-window range and a rusticated quoin against the house to the south. The main entrance was on the north side of the west-facing elevation and had a porch supported on bracket. There was a seventeenth-century style post; the figure of a lion above ground-floor bay. The fenestration of the upper floors consisted of bays containing sashes at the first- and second-floors levels, while there was a sash at third-floor.","(51.452313, -2.5891412)"
339M,House on the west side of Pithay,358957,173177,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,The Pithay,,,35300,"House located west side of Pithay, below All Saints Street. Two doors up from ""The Bell"" public house. The building was a jettied, gabled house of three storeys and attic and it was probably constructed in the seventeenth century. 1-window range; first and second floors jettied; gabled front. Ground-floor not visible; oriel to first-floor, large cross-window to front; full-height bay or oriel, transomed with 6 lights to front, 2 each to sides, second-floor; attic window. Lateral stack on north side near front.","(51.456075, -2.5920969)"
1670M,"The Swan, Mary le Port Street",359013,173066,Inn,Med,Medieval 1200-1540,,1730,,, ,0,,Commercial,Inn,Inn,Castle Park,,,38873,"The Swan, located on the north side of Mary le Port Street. An inn named ""le Swan"" had been established on the site by 1463. It was leased to George Grey (who had leased the Three Cups in Wine Street from St. James Priory) by Nicholas Willyams, tailor, later a mayor of Bristol (in 1564) (Leech 1997, 102). Williams bequeathed the leases and interest of ""the tenement called ""the Swanne"""" to his wife Joan in his will of 1 September 1565, and the building was then recorded still to be in the tenure of George Graye (Wadley 1886, 225). The property had been acquired by the foeffees of Trinity Hospital in Old Market by 1581. It remained an inn, however, throughout.
The form of the building before the seventeenth century is unknown. However, a lane ran through the site between Mary le Port Street and Wine Street by 1615. An inventory of the property of the tenant Thomas Collier made in October 1647 recorded that the inn had eleven bedrooms, as well as two halls, the ""Upper Hawll"" and the ""Lower Hawll"", kitchen and hayloft (George & George 2002, 159-162). By 1670 the inn was known as the ""White Swan."" The property was subsequently acquired by the Bristol Corporation which sold it in 1730. The building was then demolished to allow the construction of ""a Market Place for corn in Wine Street"" (Leech 1997, 103) and this later became the Cheese Market.","(51.455081, -2.5912781)"
1672M,"1, Bellevue",357636,172832,House,PM2,Post-medieval 1700-1900,1792,,,,Mansard,1,,Domestic,Dwelling,House,"1, Bellevue",,,38909,"No.1, Bellevue. The building is the southernmost of a terrace of nineteen houses. The plot, formerly part of the grounds associated with Clifton Hill House, was leased from the Society of Merchant Venturers by Harry Elderton in 1792 for a term of forty years (Ison 1952, 234). Construction of the terrace began under the supervision of William Paty (Priest 2003, 101) but was abandoned in 1793 when the outbreak of war caused a slump in development. The buildings remained uncompleted for nearly two decades but the terrace had apparently been completed by 1815.
The building is a rendered three-storey house with attic and basement. It has a slate mansard roof. A raised walk on the east side of the building extends the full length of the terrace.
The building has a Grade II listing (Listed Building number 901-1/41/6).","(51.452875, -2.6110667)"
1674M,"3, Bellevue",357635,172846,House,PM2,Post-medieval 1700-1900,1792,,,,Mansard,1,,Domestic,Dwelling,House,"3, Bellevue",,,38909,"No.3, Bellevue. The building is the southernmost of a terrace of nineteen houses. The plot, formerly part of the grounds associated with Clifton Hill House, was leased from the Society of Merchant Venturers by Harry Elderton in 1792 for a term of forty years (Ison 1952, 234). Construction of the terrace began under the supervision of William Paty (Priest 2003, 101) but was abandoned in 1793 when the outbreak of war caused a slump in development. The buildings remained uncompleted for nearly two decades but the terrace had apparently been completed by 1815.
The building is a rendered three-storey house with attic and basement. It has a slate mansard roof. A raised walk on the east side of the building extends the full length of the terrace.
In 1882 the building was occupied by C. W. Price.
The building has a Grade II listing (Listed Building number 901-1/41/6).","(51.453001, -2.6110828)"
1676M,"5, Bellevue",357635,172862,House,PM2,Post-medieval 1700-1900,1792,,,,Mansard,1,,Domestic,Dwelling,House,"5, Bellevue",,,38909,"No.5, Bellevue. The building is the southernmost of a terrace of nineteen houses. The plot, formerly part of the grounds associated with Clifton Hill House, was leased from the Society of Merchant Venturers by Harry Elderton in 1792 for a term of forty years (Ison 1952, 234). Construction of the terrace began under the supervision of William Paty (Priest 2003, 101) but was abandoned in 1793 when the outbreak of war caused a slump in development. The buildings remained uncompleted for nearly two decades but the terrace had apparently been completed by 1815.
The building is a rendered three-storey house with attic and basement. It has a slate mansard roof. A raised walk on the east side of the building extends the full length of the terrace.
In 1882 the building was occupied by E. C. Sampson.
The building has a Grade II listing (Listed Building number 901-1/41/6).","(51.453145, -2.6110847)"
1697M,"Plume of Feathers Inn, Wine Street",358915,173098,Inn,PM2,Post-medieval 1700-1900,,,,, ,0,,Commercial,Inn,Inn, ,,,38947,"Plume of Feathers Inn, located on the north side of Wine Street. The inn stood was around 17 metres back from the street and was reached by a passage, later known as Grand Hotel Passage, on the east side of No.7 Wine Street (BUAD 1699M). The inn was extant by the early nineteenth century and was recorded by Plumley and Ashmead's 1828 plan of Bristol. It was demolished later in the century and by the early 1880s the site was occupied by part of the Grand Hotel (BUAD 1667M).","(51.455361, -2.5926922)"
1091M,"Transit shed, Narrow Quay",358585,172639,Transit shed,PM2,Post-medieval 1700-1900,,,,, ,0,,Unassigned,Building,Shed,Narrow Quay,,,35723,"Transit Shed, Narrow Quay. The building was extant at the time of the Ordnance Survey 1st edition map in the early 1880s. The building is depicted as a long shed against the quayside, with open-sided roofing on the north and south sides.","(51.45121, -2.5973874)"
1698M,"5, Wine Street",358919,173076,House,PM2,Post-medieval 1700-1900,,,,, ,0,,Domestic,Dwelling,House, ,,,38947,"No.5 Wine Street, located on the northern side of Wine Street. A house appears to have stood on the site by the late thirteenth century.
The building was drawn in 1826 as part of a view of this part of the north side of Wine Street by T. L. Rowbotham (BRSMG M2343). At that date the shop was the premises of ""BOORD WOOLLEN DRAPER."" By 1882 the building was occupied by Eliza Greenway, confectioner and dining rooms
The building survived into the first half of the twentieth century but was subsequently removed and the site redeveloped.","(51.455164, -2.5926321)"
459M,"37 & 38, Narrow Wine Street",359084,173140,Houses,PM1,Post-medieval 1540-1700,,,,,Gabled fronts,0,,Domestic,Dwelling,House,Newgate,,,35327,"A pair of houses. Nos. 37 & 38, Narrow Wine Street. Attached. Twin front gables with a more shallow central gully (i.e. an M-shaped roof). 3 storeys and attics; first-floors and attics/eaves jettied; 1-window ranges. Shop windows to ground-floors. Bays to first and second floors. Attic windows. 
Now largely below the modern Newgate.","(51.455751, -2.5902649)"
