MONUMENT_RECORD_NO,LATITUDE,LONGITUDE
278M,51.452313,-2.5891412
339M,51.456075,-2.5920969
1670M,51.455081,-2.5912781
1672M,51.452875,-2.6110667
1674M,51.453001,-2.6110828
1676M,51.453145,-2.6110847
1697M,51.455361,-2.5926922
1091M,51.45121,-2.5973874
1698M,51.455164,-2.5926321
459M,51.455751,-2.5902649
1378M,51.45029,-2.608557
1556M,51.455801,-2.5893013
22M,51.451899,-2.5928776
230M,51.452665,-2.6100709
232M,51.452017,-2.5943758
234M,51.460787,-2.5900996
1512M,51.453859,-2.5998686
12M,51.451849,-2.5937692
131M,51.458034,-2.6011324
133M,51.454711,-2.5916044
136M,51.453824,-2.5979972
137M,51.45386,-2.5980121
138M,51.453896,-2.598027
118M,51.456472,-2.5810629
1240M,51.459659,-2.5963175
1513M,51.453905,-2.5997829
1514M,51.45395,-2.5996971
1516M,51.454086,-2.5994542
1517M,51.454132,-2.5993685
1518M,51.454177,-2.5992971
1519M,51.454222,-2.599197
1520M,51.454071,-2.5989359
1521M,51.454034,-2.5990074
1522M,51.453998,-2.5990789
1523M,51.45398,-2.5991218
235M,51.449691,-2.5973244
122M,51.456318,-2.5811617
124M,51.457585,-2.600997
3215M,51.457548,-2.5284848
700M,51.45147,-2.5869861
1064M,51.451461,-2.5869284
1065M,51.451443,-2.5869138
1066M,51.458681,-2.5852219
1067M,51.458911,-2.5858725
275M,51.4524,-2.5897036
277M,51.452266,-2.589486
1238M,51.452008,-2.594462
1593M,51.459256,-2.5907563
1241M,51.461007,-2.5982639
71M,51.452268,-2.6033449
721M,51.456757,-2.5923073
722M,51.456613,-2.5958892
908M,51.454756,-2.6091345
1694M,51.454124,-2.5830624
1695M,51.454409,-2.5836129
150M,51.453149,-2.5998593
1001M,51.457321,-2.5928759
152M,51.456763,-2.5857731
155M,51.455158,-2.595496
157M,51.455859,-2.5939364
159M,51.456398,-2.5974408
15M,51.452323,-2.5943654
160M,51.45647,-2.5974129
161M,51.456308,-2.5974252
162M,51.456896,-2.5861922
1002M,51.457184,-2.5914924
163M,51.456887,-2.5860913
166M,51.45692,-2.5868113
167M,51.455864,-2.5947424
169M,51.451766,-2.5942574
171M,51.455982,-2.5979967
172M,51.455901,-2.597938
3216M,51.458598,-2.5446174
3217M,51.442056,-2.5440896
1092M,51.451123,-2.596969
237M,51.450011,-2.5963788
1524M,51.453953,-2.5991647
1525M,51.453816,-2.5995227
1526M,51.453771,-2.5996084
1527M,51.453734,-2.5996943
1528M,51.453698,-2.5997802
1529M,51.453643,-2.5998658
1530M,51.446599,-2.5970682
116M,51.456337,-2.5810468
1000M,51.456865,-2.5922799
1237M,51.456636,-2.578719
1003M,51.458369,-2.5936523
1005M,51.459591,-2.5919122
1006M,51.456435,-2.5794361
1008M,51.458508,-2.5783829
1009M,51.457992,-2.5827231
1010M,51.460372,-2.579558
1011M,51.457646,-2.5854389
1012M,51.457958,-2.5860187
1013M,51.45873,-2.582531
1014M,51.455968,-2.5954202
101M,51.453454,-2.5894006
104M,51.455477,-2.5946942
105M,51.455476,-2.5948381
128M,51.452788,-2.6071223
13M,51.451876,-2.5956548
141M,51.454102,-2.5982023
142M,51.454146,-2.5982317
174M,51.454819,-2.5914474
3210M,51.459444,-2.550169
175M,51.454774,-2.5915908
176M,51.457869,-2.5894143
177M,51.457994,-2.589531
179M,51.460526,-2.5903121
17M,51.45211,-2.593715
180M,51.455492,-2.5900457
989M,51.454819,-2.5932177
98M,51.45847,-2.593265
991M,51.454811,-2.5931024
768M,51.448412,-2.5779962
769M,51.446415,-2.5962456
3211M,51.454442,-2.5639251
125M,51.455133,-2.6057142
126M,51.454021,-2.6067932
139M,51.45394,-2.5981139
108M,51.455998,-2.5965288
109M,51.454271,-2.594952
110M,51.454378,-2.5950541
115M,51.456337,-2.5811188
753M,51.454179,-2.5899424
145M,51.456006,-2.5949602
5292M,51.46877,-2.5851351
754M,51.453863,-2.5902981
755M,51.448783,-2.5990106
756M,51.446438,-2.6178301
757M,51.44765,-2.597341
279M,51.452251,-2.5890828
27M,51.451664,-2.5947886
280M,51.454455,-2.5887227
25M,51.451692,-2.5945731
261M,51.454129,-2.5945472
723M,51.456712,-2.5958473
5104M,51.458954,-2.5754235
146M,51.457867,-2.5985538
147M,51.453933,-2.5923571
149M,51.453015,-2.599728
14M,51.451859,-2.5953668
1410M,51.458647,-2.599111
1411M,51.452674,-2.5923983
72M,51.453791,-2.5885702
1413M,51.4574,-2.5985765
1415M,51.457453,-2.5986636
1437M,51.451549,-2.5944417
292M,51.450773,-2.5859842
294M,51.452106,-2.5873828
295M,51.45112,-2.586737
726M,51.45676,-2.5864495
727M,51.457101,-2.5865834
728M,51.45735,-2.5851617
730M,51.456189,-2.5960852
266M,51.450762,-2.5899991
