stop,﻿seeAlso,at_station,on_line
G-01,http://linkdata.org/resource/rdf1s3114i#G-01,http://datadock.io/kal/data/id/resource/station/tokyo-metro-渋谷駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-02,http://linkdata.org/resource/rdf1s3114i#G-02,http://datadock.io/kal/data/id/resource/station/tokyo-metro-表参道駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-03,http://linkdata.org/resource/rdf1s3114i#G-03,http://datadock.io/kal/data/id/resource/station/tokyo-metro-外苑前駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-04,http://linkdata.org/resource/rdf1s3114i#G-04,http://datadock.io/kal/data/id/resource/station/tokyo-metro-青山一丁目駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-05,http://linkdata.org/resource/rdf1s3114i#G-05,http://datadock.io/kal/data/id/resource/station/tokyo-metro-赤坂見附駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-06,http://linkdata.org/resource/rdf1s3114i#G-06,http://datadock.io/kal/data/id/resource/station/tokyo-metro-溜池山王駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-07,http://linkdata.org/resource/rdf1s3114i#G-07,http://datadock.io/kal/data/id/resource/station/tokyo-metro-虎ノ門駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-08,http://linkdata.org/resource/rdf1s3114i#G-08,http://datadock.io/kal/data/id/resource/station/tokyo-metro-新橋駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-09,http://linkdata.org/resource/rdf1s3114i#G-09,http://datadock.io/kal/data/id/resource/station/tokyo-metro-銀座駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
G-10,http://linkdata.org/resource/rdf1s3114i#G-10,http://datadock.io/kal/data/id/resource/station/tokyo-metro-京橋駅,http://datadock.io/kal/data/id/resource/line/tokyo-metro-G
